Wall time,Step,Value
1544326134.2966309,100,0.6716351509094238
1544326137.8837092,200,0.6952590942382812
1544326140.8630035,300,0.7122489213943481
1544326143.961937,400,0.7490484118461609
1544326147.2301323,500,0.7664488554000854
1544326150.1784873,600,0.7675175070762634
1544326153.7379956,700,0.7684774398803711
1544326156.801838,800,0.7695877552032471
1544326159.9276457,900,0.7863093018531799
1544326163.248563,1000,0.7962377071380615
1544326166.154189,1100,0.8017345070838928
1544326169.6893835,1200,0.799403727054596
1544326172.791682,1300,0.7979152202606201
1544326175.888457,1400,0.8029302358627319
1544326179.248463,1500,0.8138245344161987
1544326182.1306865,1600,0.8200939297676086
1544326185.6570399,1700,0.8172556757926941
1544326188.7563455,1800,0.8160873055458069
1544326191.9380457,1900,0.8153538703918457
1544326195.195652,2000,0.8238818645477295
1544326198.0484989,2100,0.8297709226608276
1544326201.5341601,2200,0.830312967300415
1544326204.668704,2300,0.8286864757537842
1544326207.8515048,2400,0.8279448747634888
1544326211.1500413,2500,0.8325848579406738
1544326213.9822016,2600,0.8374838829040527
1544326217.4595878,2700,0.8393199443817139
1544326220.5763955,2800,0.8374390006065369
1544326223.7676077,2900,0.8365040421485901
1544326227.1800606,3000,0.8376840949058533
